,trackName,artistName,id
0,Europa Pools (feat. Kacy Hill),Cashmere Cat,1wrV0UIacSdIvbuLRRdH5q
0,Work Out,J. Cole,2wAJTrFhCnQyNSD3oUgTZO
0,You're On (feat. Kyan),Madeon,4PTPZeJlK1rYlYr6bf11hk
0,Fake Happy,Paramore,6t44iU80A0h8WQ7vc4OoRj
0,SUMO | ZUMO,Denzel Curry,7EHAXZenBzmGCpccWCyg8z
0,RITMO (Bad Boys For Life),Black Eyed Peas,6cy3ki60hLwimwIje7tALf
0,Vintage,NIKI,1NCUe90ZCiWTnWn3umrwqw
0,Desert Eagle,Felly,1yYYIilGsCoijulZUZpllx
0,Energy (with A$AP Rocky & Sabrina Claudio),BURNS,13jLiEg5wdMXuJzXXnRcnj
0,Ali Bomaye,The Game,0LFcFGLYTX6UmeIdO7NVd7
0,EARFQUAKE,"Tyler, The Creator",5hVghJ4KaYES3BFUATCYn0
0,ball w/o you,21 Savage,50a8bKqlwDEqeiEknrzkTO
0,Forbidden Fruit (feat. Kendrick Lamar),J. Cole,5kpnUpMNV9dPNCKY7JtW3Q
0,Life Is Good (feat. Drake),Future,5yY9lUy8nbvjM1Uyo1Uqoc
0,Hurt Feelings,Mac Miller,5p7GiBZNL1afJJDUrOA6C8
0,Calvin's Joint,Mac Ayres,33VQJLL7QWS0LUuF7r39Rq
0,MAD I GOT IT | MAD 1 GOT 1T,Denzel Curry,6xXYFVsFDGSLNzeE9zGCiL
0,Your Teeth In My Neck,Kali Uchis,54IbnYEdA3ymfxv07WgN3b
0,Lavender and Velvet,Alina Baraz,57nReJa69S1lEJGYHLCKlx
0,GUMMY,BROCKHAMPTON,42tBlHWL3VfDkUM2iWcc5p
0,You Better Move,Lil Uzi Vert,6YAxCn4juTWn5hWl2hzHGw
0,A Tale of 2 Citiez,J. Cole,7lL3MvFWFFSD25pBz72Agj
0,Poke It Out (with Nicki Minaj),Playboi Carti,2rPSFKzGeqUWwfcCFVkkq3
0,BIRDZ FEAT. RICK ROSS,Denzel Curry,0pA0rcw7ci5X5XHrnBpkdn
0,Diamonds Dancing,Drake,2AGottAzfC8bHzF7kEJ3Wa
0,Bonnie & Clyde,Shordie Shordie,3zls854dRathxLF4aoMJm2
0,NO BYSTANDERS,Travis Scott,6OaVWaGfhXn70ZJfdVcabn
0,Shea Butter Baby (with J. Cole),Ari Lennox,5BOBHIBuzvQuIYL1E1nDzl
0,Sleepy Eyes,Elohim,1Wvzo4EotLEh4W3OVcQoDO
0,Dope Dealer,ScHoolboy Q,7pda6TLAbVGxUjIUtbiNt0
0,A BOY IS A GUN*,"Tyler, The Creator",1nXZnTALNXiPlvXotqHm66
0,RENTAL,BROCKHAMPTON,4O9tOyMOq8Oioun2MsULH5
0,Gimme Shelter,The Rolling Stones,6H3kDe7CGoWYBabAeVWGiD
