trackName,artistName,explicit,popularity,id
Freesol,Seven Lions,0,54,5GmhrrcziQz36B3R4AyJYE
Vignette,Shallou,0,41,7mR4MXiaLSKKkO42sh4IBo
Cinderella (feat. Ty Dolla $ign),Mac Miller,1,66,2lpygKqzPFtItQ4ss3cgfb
Tyrant (feat. Jorja Smith),Kali Uchis,0,62,4FZOSDwALdWxcGcRbwXWJ8
Lie,Shallou,0,58,3O1uhWkr42NesFnVloLq2a
Come Home,BAYNK,0,59,3p8LPCCe2y7cosybYJlX7Y
Slow Down,Mac Ayres,0,65,3XstzgzP0rp3bzElEnRVHv
it's not u it's me,Bea Miller,1,69,7cLm450e9XaPrEZTSTsfwU
Twist My Fingaz,YG,1,54,5A63MgoNPniM7necFglMhe
no tears left to cry,Ariana Grande,0,81,2qT1uLXPVPzGgFOx4jtEuo
the ends,Travis Scott,1,64,33zbOXJSwW7uf4VXXWow2O
Impossible,Travis Scott,1,62,0IabpxMpUV7waD7U4uDIMJ
BOY BYE,BROCKHAMPTON,1,71,6e7hIhOLH9zvb3zP5O5gt0
Off Da Zoinkys,JID,1,58,0l7uQ6vQcYxjqbjRbDH2HW
Kids,Rich Brian,1,55,5zXK1z8U96zU3tZlFFXYdH
Pale Blue Dot,Big Wild,0,52,3XmNMIucTYuXOEpAjcaeVi
Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,Dreamville,1,62,2gtFMLjQpCTGekMi4oXZxN
What's the Move (feat. Lil Uzi Vert),Young Thug,1,66,3pTScODwk9tggZzmuH6xDY
Radar (feat. HONNE),Whethan,1,60,1WfMi7xvOti8F4dSf7atd9
Hatin,Rico Nasty,1,50,3Wk4qCyx4m5aoafRxftp43
CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,1,72,2LNMhZ3YijTO7USmqjgJfG
4r Da Squaw,Isaiah Rashad,1,65,71lyUtIPCMAYjTwwwxy2jW
SPEEDBOAT,Denzel Curry,1,67,2FTOLKjQUswhpdMFq15Raf
Knotty Head,Denzel Curry,1,53,3DaXXVRXK7sWRNEugMe7s6
First Time (feat. Dylan Matthew),Seven Lions,0,63,27YD36FUikKxbp3bKSiKGZ
Shabba (feat. A$AP Rocky),A$AP Ferg,1,65,7eaKWfov7b2Qa2n6HTesL3
Dead To Me,Kali Uchis,0,71,6LOZws7T3jqZz78unPgFF9
ATM,J. Cole,1,68,2UciqgwVDwro0fev3MFbxJ
Cake,Trey Songz,1,48,23znB7WDG5MBUiGSsdvYRw
K,Jaden,1,57,1cXa22Jmxjt6SI2oZ1NRM1
White Ferrari,Frank Ocean,0,70,2LMkwUfqC6S6s6qDVlEuzV
Glow Like Dat,Rich Brian,1,60,7MXcmkmyxEYAJf04cbqKoI
Confidently Lost,Sabrina Claudio,0,64,3cQmqM0awej9iAESjhKrI9
WISH FEAT. KIDDO MARV,Denzel Curry,1,62,0shSP8DgseLewHgAiMC4UL
Ninety,Jaden,1,65,2jdw2tc29bqJwToyGvKgJm
Rotation 112th,Jay Rock,1,48,18Zq1ovdgC9gdQluiOvuaD
All Your Days,Shallou,0,54,2QEBXYzURjg7nY8FjbBcUt
Beings,Madeon,0,47,7vkPu9wwdUpB6dPmWBNcPv
Europa Pools (feat. Kacy Hill),Cashmere Cat,0,32,1wrV0UIacSdIvbuLRRdH5q
Work Work,clipping.,1,43,3xnAzzr9gNrLTXNUjqPMpm
You're On (feat. Kyan),Madeon,0,54,4PTPZeJlK1rYlYr6bf11hk
Fake Happy,Paramore,0,62,6t44iU80A0h8WQ7vc4OoRj
SUMO | ZUMO,Denzel Curry,1,60,7EHAXZenBzmGCpccWCyg8z
boy,offonoff,0,44,77bGNpC1hZH3JSZQhR1vxn
Vintage,NIKI,0,64,1NCUe90ZCiWTnWn3umrwqw
Desert Eagle,Felly,1,49,1yYYIilGsCoijulZUZpllx
Energy (with A$AP Rocky & Sabrina Claudio),BURNS,0,56,13jLiEg5wdMXuJzXXnRcnj
Ali Bomaye,The Game,1,65,0LFcFGLYTX6UmeIdO7NVd7
EARFQUAKE,"Tyler, The Creator",1,83,5hVghJ4KaYES3BFUATCYn0
ball w/o you,21 Savage,1,72,50a8bKqlwDEqeiEknrzkTO
Forbidden Fruit (feat. Kendrick Lamar),J. Cole,1,64,5kpnUpMNV9dPNCKY7JtW3Q
Summertime In Paris,Jaden,1,73,6XNANAB7sFvkfho6bMCp7o
Hurt Feelings,Mac Miller,1,70,5p7GiBZNL1afJJDUrOA6C8
Calvin's Joint,Mac Ayres,0,56,33VQJLL7QWS0LUuF7r39Rq
MAD I GOT IT | MAD 1 GOT 1T,Denzel Curry,1,52,6xXYFVsFDGSLNzeE9zGCiL
Your Teeth In My Neck,Kali Uchis,0,59,54IbnYEdA3ymfxv07WgN3b
Lavender and Velvet,Alina Baraz,0,58,57nReJa69S1lEJGYHLCKlx
GUMMY,BROCKHAMPTON,1,64,42tBlHWL3VfDkUM2iWcc5p
move!,NIKI,0,55,39rYdh4MkbRdoA7jvMUYYN
A Tale of 2 Citiez,J. Cole,1,68,7lL3MvFWFFSD25pBz72Agj
Poke It Out (with Nicki Minaj),Playboi Carti,1,61,2rPSFKzGeqUWwfcCFVkkq3
BIRDZ FEAT. RICK ROSS,Denzel Curry,1,57,0pA0rcw7ci5X5XHrnBpkdn
Diamonds Dancing,Drake,1,60,2AGottAzfC8bHzF7kEJ3Wa
Bonnie & Clyde,Shordie Shordie,1,60,3zls854dRathxLF4aoMJm2
NO BYSTANDERS,Travis Scott,1,74,6OaVWaGfhXn70ZJfdVcabn
Shea Butter Baby (with J. Cole),Ari Lennox,1,67,5BOBHIBuzvQuIYL1E1nDzl
Sleepy Eyes,Elohim,0,59,1Wvzo4EotLEh4W3OVcQoDO
Dope Dealer,ScHoolboy Q,1,57,7pda6TLAbVGxUjIUtbiNt0
A BOY IS A GUN*,"Tyler, The Creator",1,71,1nXZnTALNXiPlvXotqHm66
RENTAL,BROCKHAMPTON,1,66,4O9tOyMOq8Oioun2MsULH5
Shelter,Porter Robinson,0,67,2CgOd0Lj5MuvOqzqdaAXtS
New Apartment,Ari Lennox,1,53,587qpoPHuXkSRSykLM4EBp
Buy U a Drank (Shawty Snappin') (feat. Yung Joc),T-Pain,0,74,2aIdVb8v9KTpEZnftkz2mD
DEARLY DEPARTED,BROCKHAMPTON,1,58,7HuaFNJNNgLmk1WTSigmhi
"break up with your girlfriend, i'm bored",Ariana Grande,1,81,4kV4N9D1iKVxx1KLvtTpjS
RPG (feat. 6lack),Kehlani,0,61,1EGrDTfEuAiRzRdxlblpET
Let You Know,Flume,0,67,7p0tz5SeCrSxTLSvwR8W3D
Rembrandt...Run It Back (with JID & J. Cole feat. Vince Staples),Dreamville,1,55,2DjLLLV2r88a8TO0hVTVrS
R.I.P.,Playboi Carti,1,66,3L0IKstjUgDFVQAbQIRZRv
Free Lunch,Isaiah Rashad,1,63,5FX89IUKm9QJT9ymrmyK4k
NOIZE,Jaden,1,54,7kWOOLjhvTsfNFHdu9iWWl
Innocence (feat AlunaGeorge),Flume,0,42,20f6vZvxvbAQ0K8IhwdURS
Ecstasy (feat. Machine Gun Kelly),Young Thug,1,57,1yBbxDXEfr8boXM1ubvBHi
AUTOMATIC,Denzel Curry,1,56,2TqfASuL5JRds7bJX01PdZ
After Hours,The Weeknd,0,91,4ejyZ4uJEXUURcgKp1kP8v
Waiting,Mac Ayres,0,46,0wExkpYXBBhfI27bx7hcM6
Money Trees,Kendrick Lamar,1,68,2HbKqm4o0w5wEeEFXm2sD4
ROS,Mac Miller,1,63,388jD8ko9cvFM9cd9TYDrl
Sky Walker (feat. Travis Scott),Miguel,1,75,5WoaF1B5XIEnWfmb5NZikf
10 Freaky Girls (with 21 Savage),Metro Boomin,1,75,0AluA5RNsa4Cx6XRhf2hWZ
THUG LIFE,BROCKHAMPTON,1,53,2c09gumRCmu3qmbcqdQbUN
Hot (feat. Gunna),Young Thug,1,79,5Z8HZM6iQMhhqyPcCGY5g9
Hookers,Tierra Whack,1,53,4kTkoT7mNXTJ21WwFTIDxA
Glitter,"Tyler, The Creator",1,69,0qtK3XwbuG153dmwB8iepL
Wasteland,Tierra Whack,1,58,3yhlH8lhTpS03d91kuwjpf
